,logFC,logCPM,LR,PValue,padjFilter,FDR
UFM1,-0.285799758093689,8.19927648795399,9.93581700309642,0.00162304260498012,0.00653938028506031,0.00653938028506031
ARCN1,-0.323396133646312,8.08665061213968,9.92554560347196,0.00163212789973936,0.00656939656638579,0.00656939656638579
TXNIP,0.286015585983721,8.72189701453528,9.90866564799364,0.00164716378327451,0.00662227990983437,0.00662227990983437
ARL5A,0.25645597804469,8.38375625577132,9.90709653853673,0.0016485635822341,0.00662227990983437,0.00662227990983437
EVI5,-0.33470442678291,8.18370386060119,9.89776818553923,0.00165695548009998,0.00664934082273888,0.00664934082273888
AURKAIP1,0.218491036305286,8.43749339459677,9.87823766327324,0.00167458745484158,0.00671339102405052,0.00671339102405052
ACTG2,0.371623804344892,8.44404395739467,9.84175678417603,0.00170814999192914,0.00684111517206317,0.00684111517206317
RSF1,-0.216316392360946,8.64167447885694,9.8386702375492,0.00171099101168658,0.00684566822106075,0.00684566822106075
NDFIP1,0.189068761283448,8.71769732858538,9.82796760519636,0.00172095933986588,0.00687870016740423,0.00687870016740423
NDUFS3,0.289896621668995,8.11077282222629,9.80086137606963,0.00174649828192259,0.00697384055515211,0.00697384055515211
CFL2,0.210745687069471,8.72399604194756,9.78361757190578,0.00176295826561268,0.00703257532568631,0.00703257532568631
HSPE1,0.202554167169143,8.80151855172369,9.76226722311867,0.00178353485457625,0.0071075987210643,0.0071075987210643
MCRIP1,0.221661701694723,8.44035827972856,9.74395601593551,0.00180137613604286,0.00717158368531634,0.00717158368531634
ACIN1,-0.341725381205069,8.02940404970732,9.73817213473308,0.00180706947072974,0.00718712679596175,0.00718712679596175
MRPL19,0.31377263554303,8.05749611026647,9.72536312882858,0.00181968849071548,0.00722359542446893,0.00722359542446893
SLC25A37,-0.331821711009097,8.21230722112656,9.7252460292973,0.00181983534218635,0.00722359542446893,0.00722359542446893
ARPC1B,0.269937187839097,8.50509378400306,9.72227294546565,0.00182276637331932,0.00722808738561078,0.00722808738561078
FABP3,0.369750229021689,8.01949450379175,9.69357547198535,0.00185143548247441,0.00733453287287941,0.00733453287287941
CD302,0.250119682604497,8.4445279213168,9.6898159335874,0.0018552313328096,0.00734232932403562,0.00734232932403562
CTPS1,0.339783732995301,8.06695164881583,9.68304360994136,0.00186207700181811,0.00736216861840879,0.00736216861840879
COPRS,-0.165319483750347,8.98479610123457,9.67042465266059,0.00187488601781734,0.00740552323851745,0.00740552323851745
MSRB2,0.223694916757571,8.44613174452558,9.66634183988208,0.00187905383769972,0.0074146947603534,0.0074146947603534
IFRD2,0.346403026709722,7.97265125209895,9.6604521774442,0.00188508955456481,0.00743121171804399,0.00743121171804399
SSB,0.185014527361113,8.84145240069412,9.63594451451718,0.00191039469272789,0.00752358380459603,0.00752358380459603
EIF2AK2,0.286343457752281,8.32556393437535,9.63179277535323,0.00191473803822669,0.00753330332963429,0.00753330332963429
FRZB,0.19149329640945,10.407347654768,9.61838974939792,0.00192873650634179,0.00758095356749018,0.00758095356749018
C1orf54,-0.29072580759323,8.16969223788943,9.58357923005337,0.001965638633989,0.00771156790287439,0.00771156790287439
NDUFC1,-0.167150446045164,8.83014585726336,9.58341130349299,0.00196580670464112,0.00771156790287439,0.00771156790287439
ACADVL,0.279846852606071,8.20695606989966,9.55997664712891,0.00199105794322871,0.00780300464190218,0.00780300464190218
FAM133B,-0.214847791686768,9.27722136558483,9.5468515097657,0.00200535271010155,0.00785136631235667,0.00785136631235667
FGL2,0.235228985894454,9.29756618611033,9.53490802564215,0.00201844066297853,0.00789491347924515,0.00789491347924515
UBE2E1,-0.296618252016973,8.06297027164368,9.51044788907689,0.00204549086335895,0.0079929346285145,0.0079929346285145
MRPL13,0.289016425155293,8.11051218085901,9.50724276149822,0.00204906576561487,0.00799912262436825,0.00799912262436825
NRBP1,-0.297630181225761,8.09184596457959,9.49476021458031,0.0020630554131877,0.00804591611143203,0.00804591611143203
CANX,-0.192341149051935,8.75248399439154,9.47723693000967,0.00208284731121805,0.00811522565389225,0.00811522565389225
FAM198B,-0.221820471194392,8.70880123870974,9.47094119839585,0.00209001680416618,0.00812871153771423,0.00812871153771423
TGIF1,0.352194631149633,8.21364311242038,9.47022377289284,0.00209085756084608,0.00812871153771423,0.00812871153771423
SDC4,-0.322161540512208,8.11766217653682,9.46885928275651,0.00209237932038748,0.00812871153771423,0.00812871153771423
SRSF3,0.1639993779984,9.34012079410112,9.42418969510709,0.00214393025382048,0.00832093510105977,0.00832093510105977
SBSPON,-0.261895297595407,8.45173182125075,9.41392358681503,0.00215599105078002,0.00835966800287967,0.00835966800287967
SFPQ,-0.206241135965623,8.8819409203022,9.38937731166379,0.00218501874500919,0.0084640504326923,0.0084640504326923
TMEM160,0.244899171520676,8.32738651389729,9.37532058876104,0.00220182449574845,0.00852093352545424,0.00852093352545424
UBE3A,-0.266415795554416,8.29826765334903,9.36670826955856,0.00221219989875867,0.00855284599933935,0.00855284599933935
KCTD9,-0.271967051440529,8.26910692172874,9.35832175753012,0.00222234834377989,0.00858382047784981,0.00858382047784981
FOSL2,-0.295208431418384,8.37982731555699,9.33849212527798,0.00224652578161189,0.00866887037918823,0.00866887037918823
METTL7A,0.274903756309797,8.31587719431722,9.32537307563916,0.00226264526822107,0.00872269293900578,0.00872269293900578
XRCC6,0.226153634044986,8.41590708413923,9.3033499257067,0.00228997924163107,0.00881496533537153,0.00881496533537153
AES,-0.233197851683272,8.39850045822772,9.30256038324478,0.00229096933286728,0.00881496533537153,0.00881496533537153
RSRC1,-0.293735574088673,8.22709499549976,9.27510306435045,0.00232557534828594,0.00893955614743028,0.00893955614743028
RAB11FIP2,-0.363169618772889,8.05205630780562,9.26935683035151,0.0023328861959072,0.00895908589766654,0.00895908589766654
GID8,0.312827904584363,8.08032489329081,9.26743564013282,0.00233530046224012,0.00895952928471409,0.00895952928471409
CCNL2,-0.354596022829386,8.03180815738132,9.26575463168672,0.0023374624571522,0.00895952928471409,0.00895952928471409
C4orf3,0.153177093019925,9.20275583884297,9.24924092153833,0.00235860110142175,0.00903193577160263,0.00903193577160263
NDUFA3,-0.233787666527083,8.35076648971001,9.24635165941049,0.00236233274752768,0.00903761013982734,0.00903761013982734
RBBP6,0.289167790025863,8.44593466888555,9.24289198512554,0.00236682959387954,0.00904619836214474,0.00904619836214474
CNN3,-0.188498251695352,8.75742735233998,9.23094666171528,0.00238227768446283,0.00909658693772547,0.00909658693772547
SARS,0.245107950157715,8.3010332424748,9.21740116596311,0.00239995745473649,0.00915539325325403,0.00915539325325403
C1QTNF1,0.271693463376115,8.39098551836324,9.19532034245117,0.00242909686839074,0.00925776292251005,0.00925776292251005
MBD2,0.264896992682503,8.23583411302047,9.18404308753475,0.00244408780923721,0.00930216842670169,0.00930216842670169
YWHAG,-0.27626047721634,8.29190625926666,9.18308760449702,0.00244537960134354,0.00930216842670169,0.00930216842670169
PAM,-0.214079458452809,8.62320241676977,9.15311183183303,0.00248573477196545,0.00944673280887912,0.00944673280887912
TRIM33,-0.3340708462753,8.0788981320866,9.12578630163068,0.00252313862821855,0.00957981840222489,0.00957981840222489
CYTH3,-0.333649096997168,8.07976081169378,9.11365595771849,0.00253992537832172,0.00963444782315236,0.00963444782315236
GPR108,0.318020542624757,8.04081595503626,9.10727619950239,0.00254876076198929,0.00965498415358537,0.00965498415358537
FBLIM1,-0.179703028066249,8.90130198764637,9.10627808958202,0.00255014642443467,0.00965498415358537,0.00965498415358537
