,logFC,logCPM,LR,PValue,padjFilter,FDR
RPS29,-0.520733741935296,11.2512190896304,412.748009704655,3.26359183225156e-91,3.44212950307473e-89,3.44212950307473e-89
MIF,-0.870727325748844,9.06172344705147,412.642926867834,3.4865234237353e-91,3.57219228500422e-89,3.57219228500422e-89
TPM1,-0.655984460211298,11.1037486618334,402.405147400766,5.47276884921638e-89,5.45148585924721e-87,5.45148585924721e-87
RPL5,-0.458026807761051,11.5593935422882,399.429453411384,2.38935628629237e-88,2.3157382817958e-86,2.3157382817958e-86
MT-CO3,0.465066731824523,13.0178395528056,387.25845166879,9.99055882249041e-86,9.42793261511858e-84,9.42793261511858e-84
GSN,0.657841280111806,10.5959212372365,381.470564571021,1.75099979439338e-84,1.6100218622294e-82,1.6100218622294e-82
LDHA,-0.698700347730607,9.76296426054868,379.897612614144,3.83516174728747e-84,3.43822250644322e-82,3.43822250644322e-82
RPS27,-0.436805272850424,12.4404036589586,370.903819156687,3.29789364733995e-82,2.88445039496611e-80,2.88445039496611e-80
ADH5,0.69552763366139,9.55050514767231,367.305793663352,1.97088950593772e-81,1.68276423054587e-79,1.68276423054587e-79
NOV,-0.917266220083825,9.77576633484996,363.372384739233,1.4064012898602e-80,1.17287326172992e-78,1.17287326172992e-78
RPLP2,-0.380495079769751,11.2476526966737,362.535755919682,2.09258446580944e-80,1.70545633963469e-78,1.70545633963469e-78
GPX4,0.563189838525018,9.89858712199795,360.549542409737,5.63665937567295e-80,4.49179122692516e-78,4.49179122692516e-78
MFGE8,0.582503718106655,10.7631408141886,359.21247480377,1.08839060563339e-79,8.48471459087249e-78,8.48471459087249e-78
VIM,-0.46603413218683,13.951415795844,357.393254098801,2.68242428323658e-79,2.04663265525242e-77,2.04663265525242e-77
CALD1,-0.497804563886782,12.5973043877386,353.605141310917,1.75704734943221e-78,1.31266079063831e-76,1.31266079063831e-76
RPL35A,-0.352059248361876,11.7245300814337,352.76645560732,2.66421688700793e-78,1.94977178710417e-76,1.94977178710417e-76
SELENBP1,1.2477697912784,8.48654558386807,350.939001378126,6.6834224536139e-78,4.79335058373189e-76,4.79335058373189e-76
RHOB,0.941015422185363,9.89586447248533,348.296390780706,2.4762322277812e-77,1.74113113114184e-75,1.74113113114184e-75
COX7C,-0.407774500339387,10.5200099121702,335.75640771739,1.23718660450383e-74,8.53182916105912e-73,8.53182916105912e-73
IGFBP6,-0.858885662650336,9.4487654283659,333.871524113529,3.20731537800724e-74,2.1700816878366e-72,2.1700816878366e-72
GAPDH,-0.482503441648882,11.3029002918808,331.27814743504,1.14353048260044e-73,7.59388946408369e-72,7.59388946408369e-72
GPX3,1.21561892571011,8.8321863834569,328.845290531661,3.89126469961415e-73,2.53710458414843e-71,2.53710458414843e-71
ALDH2,0.684077096910751,9.24470030721442,325.28853470695,2.24489623314128e-72,1.43753533786511e-70,1.43753533786511e-70
HSPB7,-0.740460230899857,9.09802990230325,322.832371312904,7.66129318424929e-72,4.81989427345929e-70,4.81989427345929e-70
RPL24,-0.369639991801186,11.5271913505642,318.907270469922,5.3326954195887e-71,3.29707685769743e-69,3.29707685769743e-69
ISG15,1.81094327240859,9.59476838716508,318.28026277324,7.58323453687203e-71,4.60906424563103e-69,4.60906424563103e-69
AKR1C3,1.14003133394539,8.69223339558903,313.390077226841,8.36444700352467e-70,4.99915115910658e-68,4.99915115910658e-68
MT-ND4,0.383738664580502,12.7930400487302,301.802050538594,2.63384487416641e-67,1.54835536373127e-65,1.54835536373127e-65
C11orf96,0.677446580257914,12.3577987038488,301.473631510036,3.09407637907434e-67,1.78957385409042e-65,1.78957385409042e-65
DHRS7,0.727927123582364,8.96420796628647,297.250388388747,2.53059343986729e-66,1.4404298532324e-64,1.4404298532324e-64
GBP2,0.868523162883794,8.71553378556201,287.504552426823,3.23144726440243e-64,1.81062029533549e-62,1.81062029533549e-62
CLU,0.632159930905113,11.6064274209026,286.011952360341,6.75896420622048e-64,3.72886856053948e-62,3.72886856053948e-62
RPL31,-0.522221646859422,9.80446210076256,284.47117173545,1.45484196990508e-63,7.86167707403843e-62,7.86167707403843e-62
COMMD6,-0.459627568900907,9.77512005108546,284.451237739932,1.4688576797562e-63,7.86167707403843e-62,7.86167707403843e-62
PMEPA1,-0.63030544528242,9.36918461549561,280.079893144909,1.30315755059524e-62,6.87223967122723e-61,6.87223967122723e-61
IGFBP7,0.488300696249268,13.3148785465885,273.712697380759,3.07503326670637e-61,1.59812598469696e-59,1.59812598469696e-59
SLC25A6,-0.563420461744558,9.34776948621657,273.510489622951,3.40229317621643e-61,1.74294618998744e-59,1.74294618998744e-59
TPM2,-0.559356401981653,12.7044361148922,271.735948408773,8.22615907898809e-61,4.15478964186638e-59,4.15478964186638e-59
RPL22,-0.332136934427126,11.2077245594248,270.705148183921,1.37428299656668e-60,6.84469281345571e-59,6.84469281345571e-59
MYH11,-0.621538569770505,11.38843356737,267.668697608551,6.23505342038002e-60,3.06286322814832e-58,3.06286322814832e-58
