,logFC,logCPM,LR,PValue,padjFilter,FDR
TNS1,0.395074269838288,12.4649005013497,6.86392159327607,0.008883711661813,0.0359431098989026,0.0359431098989026
RPL24,-0.258564385128554,13.3145855108801,6.84587195141091,0.00897096282793855,0.0359431098989026,0.0359431098989026
NORAD,0.436407856241987,12.3632125452512,6.83530869300483,0.00903033465304237,0.0359431098989026,0.0359431098989026
RPLP2,-0.279422113937122,12.9123674439287,6.82069242382988,0.00909782229352168,0.0359431098989026,0.0359431098989026
NFIA,0.469111096142345,12.2371257198282,6.81718866502166,0.00912134792429833,0.0359431098989026,0.0359431098989026
PFDN5,-0.281608736080545,13.1169727372197,6.79734031357202,0.00921618202535964,0.0359431098989026,0.0359431098989026
RPL31,-0.393199873284179,12.4248611706509,6.74615702825662,0.00948554725589119,0.0360893109606305,0.0360893109606305
RPS13,-0.292058935965496,12.8529962166197,6.73897363291451,0.00952120699908415,0.0360893109606305,0.0360893109606305
NSA2,-0.43918222088398,12.3298833211211,6.72484432472027,0.00960068208247541,0.0360893109606305,0.0360893109606305
RPS21,-0.334792937306948,12.6370915518875,6.48319435225551,0.0109930431037035,0.0408313029566131,0.0408313029566131
MXRA7,0.407019918283725,12.1760073092402,6.36257146476117,0.0117563477023837,0.0431527115663967,0.0431527115663967
ANTXR1,0.387753156145839,12.451360021665,6.32189039436929,0.0120299068049833,0.0436433828273814,0.0436433828273814
RPS19,-0.301775170490668,13.053120437289,6.28890904855683,0.0122581719124174,0.0439603406514281,0.0439603406514281
RPS11,-0.277379489807489,12.8678629904621,6.11935563979091,0.0134852616652125,0.0478113822675716,0.0478113822675716
CALM2,0.384582543128303,12.2738495511144,6.03140416295821,0.0141652217806232,0.0496578561298253,0.0496578561298253
RPL13A,-0.248248842810879,13.123164783998,5.99796162335196,0.014438471579298,0.0500533681415662,0.0500533681415662
RPL35,-0.28985082903008,12.7292273034068,5.71161504843428,0.0169708016812111,0.0581720946621729,0.0581720946621729
ACTA2,0.41647341580262,12.7732196368048,5.6939221062546,0.0171533099644869,0.0581720946621729,0.0581720946621729
RPL3,-0.224727024734471,13.8740507365908,5.52683005528013,0.0188573075371743,0.063263225286004,0.063263225286004
LPP,-0.34708619210551,12.6147210344561,5.38164820357395,0.0204844826786269,0.0679910488907615,0.0679910488907615
RPS6,-0.212793688833132,13.9359008961361,5.35071592219799,0.0208429200799896,0.0684525375258606,0.0684525375258606
NOP53,0.373371068132242,12.3103431857607,5.25218617577883,0.0220661324496521,0.0717149304613695,0.0717149304613695
SPTBN1,0.366386736308568,12.5265056514446,5.23288315008807,0.0223057523607866,0.071746337490365,0.071746337490365
MT-CYB,0.248446523339777,13.5832522567387,5.19348380283884,0.0228180476176377,0.0726452128234995,0.0726452128234995
CALD1,-0.26756640812948,14.2435778595362,5.15000932666385,0.02338278270437,0.0736911939774086,0.0736911939774086
EIF3E,-0.314405552169453,12.4898868967193,5.03522231440212,0.0249801924031236,0.0779382002977455,0.0779382002977455
SUB1,0.389495757301457,12.0577769534428,4.94104321912141,0.0263686859257369,0.0814557426616822,0.0814557426616822
PPDPF,-0.403988555518001,12.2588635650978,4.87040037128895,0.0274818911480394,0.0840622552763557,0.0840622552763557
LGALS1,-0.331998037345141,12.7088002530493,4.80271167610897,0.0285793671505043,0.0865705102034694,0.0865705102034694
CD59,0.368186573518645,12.0787459267712,4.67377749551025,0.0307778806457296,0.0923336419371889,0.0923336419371889
MYH9,0.347761369027746,12.5373436464848,4.52821545801049,0.0335169850923371,0.099593327131516,0.099593327131516
MYL9,0.333675527555385,12.708152295429,4.45450975594161,0.0349773032713268,0.102952062459,0.102952062459
SEPT7,0.322465843462434,12.2735618464665,4.43146160670227,0.0354453742943563,0.103354736260179,0.103354736260179
HNRNPA3,-0.332099317783983,12.2432098733254,4.37923555063651,0.0365421483445782,0.105247803135631,0.105247803135631
ACTG1,0.31818433931107,12.4302616822951,4.36890052781928,0.0367692645569992,0.105247803135631,0.105247803135631
EEF1B2,-0.270304029909766,13.0193776170911,4.16183767135612,0.0415121941463281,0.117063404753916,0.117063404753916
OST4,-0.387287234437433,12.0518500578288,4.1563131792588,0.0416475574605277,0.117063404753916,0.117063404753916
RPL13,-0.170751180521312,13.6829653081351,4.13389003267326,0.0422011554514681,0.117541873682868,0.117541873682868
ADIRF,0.308975586315387,12.681942393964,4.10707928017854,0.0428809657789884,0.117541873682868,0.117541873682868
HMGB1,0.275257956312582,12.5488657433962,4.10423223079397,0.0429479923072016,0.117541873682868,0.117541873682868
RPL8,-0.22187948497211,12.8783436228008,4.06603498729271,0.0439267044514423,0.119175059033478,0.119175059033478
ISCU,0.361355464284021,12.0577788082638,3.94553447058536,0.0471767976144618,0.126445269702868,0.126445269702868
YBX3,0.372985962277719,12.0931403133528,3.9370325295958,0.0474169761385755,0.126445269702868,0.126445269702868
SERINC1,0.347160878284207,12.2499901817131,3.91645689451684,0.0480047601266067,0.126927840334757,0.126927840334757
PMEPA1,0.362148982779346,12.3413446595778,3.84437456675414,0.0501167409199441,0.131398514008593,0.131398514008593
PPP1R12B,-0.380353503830204,12.2601396870679,3.73215914093265,0.0535696119763552,0.139280991138524,0.139280991138524
SNRPN,0.352595431155126,12.0009128413133,3.70577227836122,0.0544057419590229,0.140285880092687,0.140285880092687
SUSD5,0.367254951281677,12.3652240263281,3.66139047607919,0.0558980675472944,0.142952435038982,0.142952435038982
RPL36,-0.227606964348023,12.8059444023415,3.52449132685013,0.0606690472864038,0.153892217506975,0.153892217506975
